วันที่,วิชาสอน,รายละเอียด,รูปภาพ,เทอม,สัปดาห์
23/6/2569,ระบบปฏิบัติการเครื่องแม่ข่าย,สอนในหัวข้อ การจัดการสิทธิ์ผู้ใช้และระบบรักษาความปลอดภัย (User Permission & Linux Firewall UFW),,1,8
24/6/2569,การเขียนโปรแกรมคอมพิวเตอร์,สอนในหัวข้อ 3.3 คำสั่งรับและแสดงผลข้อมูลด้วย printf และ scanf และทำใบงานที่ 3.2,,1,8
25/6/2569,-,กิจกรรมรณรงค์วันต่อต้านยาเสพติด,1WirnztJ65cd8R4pXEmlQmq6te4j4WrsA,1,8
26/6/2569,ระบบปฏิบัติการเครื่องแม่ข่าย,ทดลองตั้งค่าความปลอดภัย SSH และ Firewall ป้องกันการโจมตี Server,,1,8
29/6/2569,-,เตรียมข้อสอบและแนวทางประเมินผลกลางภาค,175HMgKRwcwq0Lj3-2VBE-GTLwuUQv2tq,1,9
30/6/2569,ระบบปฏิบัติการเครื่องแม่ข่าย,สรุปทบทวนเนื้อหาโปรเจกต์ NOS และสอบประเมินผลภาคปฏิบัติกลางภาค,,1,9
1/7/2569,การเขียนโปรแกรมคอมพิวเตอร์,"สอนในหัวข้อ 4.1 ตัวแปรและการประกาศตัวแปร 4.2 ชนิดข้อมูล (int, float, char) และทำใบงานที่ 4.1",,1,9
2/7/2569,-,ปฏิบัติหน้าที่ครูเวรดูแลนักเรียน,1mp_dC7TZ_Sr29roFuQ-rS_2jGIBXXWwJ,1,9
3/7/2569,ระบบปฏิบัติการเครื่องแม่ข่าย,เฉลยแบบทดสอบและชี้แนะแนวทางการปรับปรุงระบบ Server,,1,9
6/7/2569,-,กิจกรรมพัฒนาผู้เรียนและพบปะนักเรียนในที่ปรึกษา,1mEIrTVFUw7WS_v8TgxHlxnmw5XXB4nkt,1,10
7/7/2569,ระบบปฏิบัติการเครื่องแม่ข่าย,สอนในหัวข้อ การติดตั้งและแชร์ไฟล์ผ่านระบบเครือข่าย (FTP / Samba File Server),,1,10
8/7/2569,การเขียนโปรแกรมคอมพิวเตอร์,สอนในหัวข้อ 4.3 ตัวดำเนินการทางคณิตศาสตร์ เปรียบเทียบ และตรรกะ และทำใบงานที่ 4.2,,1,10
9/7/2569,-,เตรียมสื่อการสอนสำหรับบทเรียนถัดไป,1oIa0DFayi7IBl6NeTOfX79hmp9GE1D4s,1,10
10/7/2569,ระบบปฏิบัติการเครื่องแม่ข่าย,ปฏิบัติการทดลองแชร์ไฟล์ข้ามแพลตฟอร์ม Windows และ Linux ด้วย Samba,,1,10
13/7/2569,-,กิจกรรม Homeroom และเตรียมความพร้อมการเรียนการสอน,1buXi2JGP8p3aBq8xq8Z_6j_ZnNCj5thS,1,11
14/7/2569,ระบบปฏิบัติการเครื่องแม่ข่าย,สอนในหัวข้อ การบริหารจัดการทรัพยากรระบบและ Service Management บน Linux Server,,1,11
15/7/2569,การเขียนโปรแกรมคอมพิวเตอร์,สอนในหัวข้อ 5.1 นิพจน์ทางคณิตศาสตร์ 5.2 ลำดับความสำคัญของตัวดำเนินการ และทำใบงานที่ 5.1,,1,11
16/7/2569,-,ปฏิบัติหน้าที่ครูเวรประจำวัน,173d4f4U7GVwnz8vuKLcEJO9BrReZ96hG,1,11
17/7/2569,ระบบปฏิบัติการเครื่องแม่ข่าย,ปฏิบัติการเขียน Shell Script พื้นฐานเพื่อการสำรองข้อมูลอัตโนมัติ (Automated Backup Script),,1,11
20/7/2569,-,กิจกรรมงานสัปดาห์วิชาการ (ติดงานวิชาการ),1kG5XIrpPwsxPwopeNrynErcPL6AeZkcg,1,12
21/7/2569,-,เข้าร่วมและปฏิบัติหน้าที่สนับสนุนกิจกรรมงานวิชาการ (ติดงานวิชาการ),1aiSCBOrcBOb7kIA7MU68ksgk9FUQOAv3,1,12
22/7/2569,-,จัดแสดงผลงานและนิทรรศการงานวิชาการประจำปี (ติดงานวิชาการ),15UAuvGPgL2ROIdaXL_Xc4SR5On0MKHh4,1,12
23/7/2569,-,สรุปผลการดำเนินงานกิจกรรมงานวิชาการ (ติดงานวิชาการ),1b2U5hyXwTlLkNinrRRwlM56c7rIWq7V4,1,12
24/7/2569,-,สรุปประเมินผลโครงการงานวิชาการ และดูแลนักเรียนเข้าร่วมกิจกรรม (ติดงานวิชาการ),1WiIZERCbTQ9bexbKC9hv9B7FvrhylWLX,1,12
27/7/2569,-,กิจกรรม Homeroom พบปะนักเรียน และติดตามพัฒนาการผู้เรียน,16368Yle6fL6Us0ZgUu2_JQyF8ZBA-e1w,1,13
28/7/2569,-,วันหยุดราชการเนื่องในวันเฉลิมพระชนมพรรษา พระบาทสมเด็จพระเจ้าอยู่หัว,1BhMsi9uJOI0N68oe2wyDbwZdm-rw8PWS,1,13
